epoch;accuracy;loss;val_accuracy;val_loss
0;0.5234473943710327;0.7044532299041748;0.5;0.6859303712844849
1;0.5817490220069885;0.6671022772789001;0.5609136819839478;0.7079752087593079
2;0.6476552486419678;0.6256702542304993;0.6370558142662048;0.6252955794334412
3;0.6913815140724182;0.5903923511505127;0.6675127148628235;0.6357550621032715
4;0.7433460354804993;0.5187238454818726;0.700507640838623;0.5989811420440674
5;0.7946767807006836;0.4515954554080963;0.7131979465484619;0.594728946685791
6;0.8257287740707397;0.37635526061058044;0.7131979465484619;0.6645415425300598
7;0.8650190234184265;0.3145938813686371;0.7157360315322876;0.719414234161377
8;0.9195183515548706;0.21951353549957275;0.6878172755241394;0.9553992748260498
9;0.9264892339706421;0.19100551307201385;0.7055837512016296;0.840972900390625
10;0.963244616985321;0.10218249261379242;0.6802030205726624;1.0725054740905762
11;0.9847908616065979;0.05547095462679863;0.7055837512016296;1.5277289152145386
12;0.9543726444244385;0.11236792802810669;0.6573604345321655;1.1189030408859253
13;0.979721188545227;0.0632832795381546;0.700507640838623;1.7891833782196045
14;0.9955639839172363;0.015717070549726486;0.6751269102096558;1.8233342170715332
15;0.999366283416748;0.005040133837610483;0.6878172755241394;1.970746636390686
16;1.0;0.0011530002811923623;0.6903553009033203;2.0270750522613525
17;1.0;0.0005897708470001817;0.6954314708709717;2.0864858627319336
18;1.0;0.00042693523573689163;0.703045666217804;2.144611120223999
19;1.0;0.00033226775121875107;0.6979695558547974;2.1887779235839844
20;1.0;0.0002719902840908617;0.6954314708709717;2.2317323684692383
21;1.0;0.00023054887424223125;0.700507640838623;2.267692804336548
22;1.0;0.00019533855083864182;0.700507640838623;2.3020527362823486
23;1.0;0.00017147342441603541;0.703045666217804;2.3357112407684326
24;1.0;0.00014887601719237864;0.6979695558547974;2.365144729614258
25;1.0;0.00013145031698513776;0.703045666217804;2.391916275024414
